Country	Anbirthrate	Pop	muh	contact_rateh	infectious_period	iotah	Dcases	TestsP	latent_referece	latent_alpha	latent_beta	latent_delta	latent_future1	latent_future2	alpha_prop	beta_prop	delta_prop	future1_prop	future2_prop	epsilonh	sev_reduce	reference_trans	alpha_trans	beta_trans	delta_trans	future1_trans	future2_trans	sigmaSE	k_in	prop_pos_imm	infect_reduce	mort_reduce	epsilonh_reduce	infectious_period_reduce	epsilonhOmi	epsilonh40	epsilonh60	lenth_of_stay	pop_inf_factor	pop_inf_factor1	pop_inf_factor2	vulnerability	vulnerability1	pop_inf_factor3	pop_inf_factor4	vun_pop_infl_factor	True burden	prop_pop_imm_21_infected	Fully_vacc	prop_pop_imm_21	deathreported	k_inA
Guinea	0.03574	13497237	0.008	6.81	10	13	421	31645	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.035	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	640	0.002344554	0.0015625	0.015842431	0.008083776	0.0111409	0.017921216	0.00247538	5882987	0.435866022	7.759	0.479637177	0.142298735	0.07759
GuineaBissau	0.034	2015490	0.0093	9.64	10	10	149	6476	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.035	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	42	0.003213114	0.023809524	0.015429539	0.020476287	0.014099611	0.02021477	0.036736998	877530	0.435392882	1.176	0.442032662	0.182603746	0.01176
Lesotho	0.02617	2159067	0.0137	4.96	10	0	673	28408	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	26	0.013157535	0.038461538	0.027839047	0.152476607	0.105349996	0.113919524	0.107073258	978338	0.453129986	34.338	0.640914212	0.99	0.34338
Liberia	0.03258	5180208	0.0073	4.85	10	2	287	6656	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	96	0.00128489	0.010416667	0.015440961	0.007564579	0.01056407	0.017720481	0.016084334	2242665	0.432929527	19.464	0.543304124	0.087614988	0.19464
Madagascar	0.03226	28427333	0.0058	3.3	10	19	1027	50335	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.06	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	510	0.001770655	0.001960784	0.014714993	0.001770911	0.003287974	0.009857496	0.002885293	12262540	0.43136442	1.954	0.442475559	0.101303754	0.01954
Malawi	0.03371	19647681	0.0063	4.12	10	1	2355	74201	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.06	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	410	0.003776578	0.002439024	0.019832099	0.05205726	0.004084538	0.01241605	0.004837097	8595493	0.437481299	3.593	0.457692596	0.218327965	0.03593
Mali	0.0406	20855724	0.0092	6.2	10	21	666	20671	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.065	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	610	0.000991143	0.001639344	0.01595952	0.007410714	0.010445729	0.01797976	0.002616315	9046812	0.433780769	2.031	0.445280682	0.05851201	0.02031
Mauritania	0.0328	4775110	0.007	4.89	10	5	863	41160	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.065	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	660	0.008619697	0.001515152	0.054797836	0.001357587	0.01416514	0.037398918	0.008302702	2117914	0.443531981	19.843	0.55395193	0.565934747	0.19843
Mauritius	0.01009	1273428	0.0087	4.3	10	66	786	68310	4	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	26	0.053642609	0.038461538	0.016325927	0.009574024	0.124626834	0.108162963	0.062792027	616380	0.484032077	71.546	0.853186487	0.99	0.71546
Mozambique	0.03698	32163045	0.008	2.55	10	19	1976	175648	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1000	0.005461174	0.001	0.017770202	0.069539072	0.003388984	0.009885101	0.00177702	14116565	0.43890636	18.954	0.545256048	0.324680208	0.18954
Namibia	0.0277	2587344	0.0077	9.57	10	6	3620	146726	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	355	0.056709119	0.002816901	0.052426045	0.082253718	0.03202665	0.032879689	0.0147679	1302837	0.503542243	13.539	0.570757658	0.99	0.13539
Niger	0.0452	25130810	0.0078	7.9	10	6	274	7371	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.05	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	565	0.000293305	0.001769912	0.012801962	0.001494045	0.005142475	0.011400981	0.002265834	10874074	0.432698906	3.98	0.45527749	0.017155994	0.0398
